City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
622,Isla Vista,US,80.6,clear sky,34.4133,-119.861,Best Western Plus South Coast Inn
623,Santa Rosa,PH,82.0,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
624,Bilma,NE,83.39,clear sky,18.6853,12.9164,Expeditions Ténére voyages
628,Cap Malheureux,MU,80.01,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
636,Mecca,SA,78.8,broken clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
639,Tucuma,BR,76.75,moderate rain,-0.1833,-50.05,
640,Abu Kamal,SY,75.29,broken clouds,34.4506,40.9171,محطة التلفاز
644,Isla Mujeres,MX,82.4,broken clouds,21.2311,-86.73100000000001,Hotel La Joya Isla Mujeres
649,Iracoubo,GF,75.24,overcast clouds,5.4802,-53.2011,Le Gite D Iracoubo
655,Pointe Michel,DM,84.2,few clouds,15.25,-61.3833,Castle Comfort Lodge Dive Dominica
658,Harper,LR,79.65,light rain,4.375,-7.7169,Screensaver
663,Puerto Ayacucho,VE,78.17,light rain,5.6639,-67.6236,Posada Turistica Manapiare
664,Popondetta,PG,76.68,overcast clouds,-8.7537,148.2534,Timos Transit House
667,Mercedes,AR,75.99,moderate rain,-34.6515,-59.4307,Posada del Inti Centro
668,Bubaque,GW,76.69,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
673,Samarai,PG,80.38,overcast clouds,-10.6167,150.6667,Nuli Sapi
