City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
182,Kisaran,ID,2021-04-06 16:51:16,2.9845,99.6158,74.05,98,98,2.21
183,Coquimbo,CL,2021-04-06 16:51:17,-29.9533,-71.3436,66.2,59,0,13.8
184,Longyearbyen,SJ,2021-04-06 16:51:17,78.2186,15.6401,10.4,48,20,13.8
185,Davila,PH,2021-04-06 16:51:17,18.4726,120.5763,75.63,77,4,22.82
186,Lae,PG,2021-04-06 16:51:00,-6.7221,146.9847,76.44,84,98,6.64
187,Port Lincoln,AU,2021-04-06 16:51:18,-34.7333,135.8667,62.76,79,0,8.81
188,Srednekolymsk,RU,2021-04-06 16:51:19,67.45,153.6833,-22.45,95,73,7.45
189,Ha Giang,VN,2021-04-06 16:51:19,22.8333,104.9833,67.68,98,100,1.32
190,Tabora,TZ,2021-04-06 16:51:19,-5.0167,32.8,69.22,82,60,1.19
191,Narsaq,GL,2021-04-06 16:51:20,60.9167,-46.05,35.6,87,75,4.61
192,Elk River,US,2021-04-06 16:51:20,45.3038,-93.5672,62.01,55,67,5.01
193,Parry Sound,CA,2021-04-06 16:50:02,45.3501,-80.033,55.4,28,100,11.63
194,Airai,TL,2021-04-06 16:51:21,-8.9266,125.4092,59.9,87,78,1.61
195,Acapulco,MX,2021-04-06 16:51:21,16.8634,-99.8901,87.8,48,20,4.43
196,Cedar Lake,US,2021-04-06 16:51:21,41.3648,-87.4411,75.99,46,1,12.66
197,Bonavista,CA,2021-04-06 16:51:22,48.6499,-53.1147,41.0,100,100,3.44
198,Goure,NE,2021-04-06 16:51:22,13.9835,10.2704,99.0,7,58,1.99
199,Chitipa,MW,2021-04-06 16:51:22,-9.7024,33.2697,63.28,97,50,4.38
200,Kuala Terengganu,MY,2021-04-06 16:51:23,5.3302,103.1408,78.8,94,40,2.3
201,Lom Sak,TH,2021-04-06 16:51:23,16.7798,101.2422,75.67,89,74,2.08
202,Kismayo,SO,2021-04-06 16:51:23,-0.3582,42.5454,82.76,76,5,11.39
203,Boa Vista,BR,2021-04-06 16:51:24,2.8197,-60.6733,80.6,74,75,3.44
204,Mahibadhoo,MV,2021-04-06 16:51:24,3.7833,72.9667,83.71,68,97,6.15
205,Eydhafushi,MV,2021-04-06 16:51:25,5.1033,73.0708,83.34,68,93,4.59
206,Mokolo,CM,2021-04-06 16:51:25,10.7398,13.8019,105.8,9,0,2.3
207,Nahariyya,IL,2021-04-06 16:51:25,33.0059,35.0941,73.4,60,0,5.75
208,Pacific Grove,US,2021-04-06 16:50:20,36.6177,-121.9166,54.0,76,90,4.61
209,Salalah,OM,2021-04-06 16:51:26,17.0151,54.0924,84.2,65,0,3.44
210,Whitehorse,CA,2021-04-06 16:49:44,60.7161,-135.0538,14.0,67,90,13.8
211,Kholodnyy,RU,2021-04-06 16:51:27,62.7167,147.95,-2.33,100,100,2.17
212,Saint George,US,2021-04-06 16:51:27,37.1041,-113.5841,62.01,21,1,8.05
213,Puerto Escondido,MX,2021-04-06 16:47:54,15.85,-97.0667,87.8,51,75,5.06
214,Severo-Kurilsk,RU,2021-04-06 16:51:28,50.6789,156.125,25.99,76,40,16.64
215,Torbay,CA,2021-04-06 16:51:28,47.6666,-52.7314,41.0,100,90,11.5
216,Yar-Sale,RU,2021-04-06 16:51:29,66.8333,70.8333,29.66,94,100,14.03
217,Kyakhta,RU,2021-04-06 16:51:29,50.3508,106.4494,38.7,54,73,2.26
218,Nizhniy Kuranakh,RU,2021-04-06 16:51:29,58.8353,125.4869,-5.48,96,94,3.51
219,Ponta Do Sol,PT,2021-04-06 16:51:30,32.6667,-17.1,64.0,64,84,5.01
220,Karratha,AU,2021-04-06 16:51:30,-20.7377,116.8463,81.64,64,14,1.39
221,Vao,NC,2021-04-06 16:51:31,-22.6667,167.4833,75.09,68,78,18.7
222,Upernavik,GL,2021-04-06 16:51:31,72.7868,-56.1549,10.58,91,100,15.28
223,Tshela,CD,2021-04-06 16:51:31,-4.9833,12.9333,79.12,84,99,2.28
224,Curup,ID,2021-04-06 16:51:32,-3.4667,102.5333,66.69,94,98,1.39
225,Ilulissat,GL,2021-04-06 16:51:32,69.2167,-51.1,21.2,79,75,10.36
226,Murray Bridge,AU,2021-04-06 16:51:33,-35.1167,139.2667,57.99,99,0,5.17
227,Guane,CU,2021-04-06 16:51:33,22.2025,-84.0875,83.82,42,75,11.72
228,Faanui,PF,2021-04-06 16:51:33,-16.4833,-151.75,80.73,66,100,10.98
229,Kamenka,RU,2021-04-06 16:51:34,51.3223,42.7678,44.01,72,85,3.96
230,Ancud,CL,2021-04-06 16:51:34,-41.8697,-73.8203,62.01,100,90,16.11
231,Ranfurly,NZ,2021-04-06 16:51:35,-45.1333,170.1,39.99,89,83,1.21
232,Iqaluit,CA,2021-04-06 16:51:35,63.7506,-68.5145,14.0,85,90,3.44
233,Salinas,US,2021-04-06 16:51:35,36.6777,-121.6555,53.6,76,90,5.75
234,Lompoc,US,2021-04-06 16:51:36,34.6391,-120.4579,53.6,82,90,14.97
235,Hearst,CA,2021-04-06 16:51:36,49.6835,-83.6665,44.6,76,100,1.14
236,Aklavik,CA,2021-04-06 16:51:37,68.2191,-135.0107,-9.4,77,75,2.3
237,Talnakh,RU,2021-04-06 16:51:37,69.4865,88.3972,28.76,97,100,2.73
238,Manggar,ID,2021-04-06 16:51:37,-2.8833,108.2667,79.84,82,50,6.87
239,Lokosovo,RU,2021-04-06 16:51:38,61.1333,74.8167,32.34,97,100,10.27
240,Safaga,EG,2021-04-06 16:51:38,26.7292,33.9365,84.2,17,0,3.44
241,Komsomolskiy,UZ,2021-04-06 16:51:38,40.4272,71.7189,55.4,54,76,6.91
242,Trairi,BR,2021-04-06 16:51:39,-3.2778,-39.2689,86.41,60,77,12.8
243,Agadir,MA,2021-04-06 16:47:16,30.4202,-9.5982,69.8,60,40,13.8
244,Pirgos,GR,2021-04-06 16:51:39,35.1167,25.7178,64.0,73,46,8.95
245,Lagoa,PT,2021-04-06 16:51:40,39.05,-27.9833,59.47,87,99,19.57
246,Odesskoye,RU,2021-04-06 16:51:40,54.2111,72.9651,24.28,94,7,8.77
247,Presidencia Roque Saenz Pena,AR,2021-04-06 16:51:40,-26.7852,-60.4388,84.31,54,43,7.05
248,Nome,US,2021-04-06 16:51:41,64.5011,-165.4064,10.4,72,90,9.22
249,Maragogi,BR,2021-04-06 16:51:41,-9.0122,-35.2225,83.1,63,100,9.91
250,Ojinaga,MX,2021-04-06 16:51:41,29.5667,-104.4167,82.4,24,1,3.44
251,Vestmannaeyjar,IS,2021-04-06 16:51:42,63.4427,-20.2734,30.2,43,0,11.5
252,Broome,US,2021-04-06 16:51:42,42.2506,-75.833,59.0,19,1,12.66
253,Den Helder,NL,2021-04-06 16:51:43,52.9599,4.7593,37.4,70,75,17.27
254,Kahului,US,2021-04-06 16:51:43,20.8947,-156.47,68.0,94,40,11.5
255,Bambous Virieux,MU,2021-04-06 16:51:43,-20.3428,57.7575,78.8,89,75,8.05
256,Minjur,IN,2021-04-06 16:51:44,13.2667,80.2667,82.4,74,20,4.61
257,Bubaque,GW,2021-04-06 16:51:44,11.2833,-15.8333,76.69,79,1,9.13
258,Fairbanks,US,2021-04-06 16:50:33,64.8378,-147.7164,0.0,76,40,1.1
259,Cayenne,GF,2021-04-06 16:50:39,4.9333,-52.3333,84.2,74,90,14.97
260,Tucurui,BR,2021-04-06 16:51:45,-3.7661,-49.6725,91.06,49,61,4.32
261,Naze,JP,2021-04-06 16:51:45,28.3667,129.4833,61.43,58,3,20.18
262,Nishihara,JP,2021-04-06 16:51:46,26.1842,127.7558,68.0,72,40,16.11
263,Benghazi,LY,2021-04-06 16:51:46,32.1167,20.0667,62.24,71,39,13.47
264,Bengkulu,ID,2021-04-06 16:51:46,-3.8004,102.2655,75.42,87,99,4.38
